,B_VALUE,C_VALUE,BETA1,BETA2,transactions,ETH,hours,days,FinalScore
0,100.0,100.0,0.9,500.0,16.0,0.03715312,384.0,16.0,99.3931604662311
1,100.0,100.0,0.9,1000.0,22.0,0.05108554,528.0,22.0,99.14967350391382
2,100.0,100.0,0.9,1500.0,28.0,0.06501796,672.0,28.0,99.28142486824956
3,100.0,100.0,0.9,2000.0,34.0,0.07895038,816.0,34.0,99.36865898437343
4,100.0,100.0,0.9,2500.0,40.0,0.0928828,960.0,40.0,99.36888103760275
5,100.0,100.0,0.9,3000.0,46.0,0.10681522,1104.0,46.0,99.27160612419208
6,100.0,100.0,0.9,3500.0,52.0,0.12074764,1248.0,52.0,99.0168133343942
7,100.0,100.0,0.9,4000.0,59.0,0.13700213,1416.0,59.0,99.05723502353779
8,100.0,100.0,0.9,4500.0,67.0,0.15557869,1608.0,67.0,99.25351413383963
9,100.0,100.0,0.91,500.0,16.0,0.03715312,384.0,16.0,99.64698776119023
10,100.0,100.0,0.91,1000.0,22.0,0.05108554,528.0,22.0,99.63897940750934
11,100.0,100.0,0.91,1500.0,27.0,0.06269589,648.0,27.0,99.42532718653601
12,100.0,100.0,0.91,2000.0,32.0,0.07430624,768.0,32.0,99.2806081523248
13,100.0,100.0,0.91,2500.0,37.0,0.08591659,888.0,37.0,99.14227816845394
14,100.0,100.0,0.91,3000.0,43.0,0.09984901,1032.0,43.0,99.44564010871304
15,100.0,100.0,0.91,3500.0,48.0,0.11145936,1152.0,48.0,99.25162678507581
16,100.0,100.0,0.91,4000.0,54.0,0.12539178,1296.0,54.0,99.35143578613084
17,100.0,100.0,0.91,4500.0,60.0,0.1393242,1440.0,60.0,99.34696335298256
18,100.0,100.0,0.92,500.0,16.0,0.03715312,384.0,16.0,99.77945523004412
19,100.0,100.0,0.92,1000.0,21.0,0.04876347,504.0,21.0,99.49925731738819
20,100.0,100.0,0.92,1500.0,26.0,0.06037382,624.0,26.0,99.49163764372658
21,100.0,100.0,0.92,2000.0,31.0,0.07198417,744.0,31.0,99.57137993000033
22,100.0,100.0,0.92,2500.0,35.0,0.08127245,840.0,35.0,99.28028327252213
23,100.0,100.0,0.92,3000.0,40.0,0.0928828,960.0,40.0,99.43645466119443
24,100.0,100.0,0.92,3500.0,44.0,0.10217108,1056.0,44.0,99.13084076335983
25,100.0,100.0,0.92,4000.0,49.0,0.11378143,1176.0,49.0,99.25314658289763
26,100.0,100.0,0.92,4500.0,54.0,0.12539178,1296.0,54.0,99.29586148481293
27,100.0,100.0,0.93,500.0,15.0,0.03483105,360.0,15.0,99.40860133590495
28,100.0,100.0,0.93,1000.0,20.0,0.0464414,480.0,20.0,99.21319790804742
29,100.0,100.0,0.93,1500.0,25.0,0.05805175,600.0,25.0,99.50819749596374
30,100.0,100.0,0.93,2000.0,29.0,0.06734003,696.0,29.0,99.33893730878324
31,100.0,100.0,0.93,2500.0,33.0,0.07662831,792.0,33.0,99.26049135820732
32,100.0,100.0,0.93,3000.0,37.0,0.08591659,888.0,37.0,99.23454803916097
33,100.0,100.0,0.93,3500.0,41.0,0.09520487,984.0,41.0,99.22668529152969
34,100.0,100.0,0.93,4000.0,45.0,0.10449315,1080.0,45.0,99.21666318583509
35,100.0,100.0,0.93,4500.0,49.0,0.11378143,1176.0,49.0,99.1933031564897
36,100.0,100.0,0.94,500.0,15.0,0.03483105,360.0,15.0,99.64010344497538
37,100.0,100.0,0.94,1000.0,20.0,0.0464414,480.0,20.0,99.6302177202832
38,100.0,100.0,0.94,1500.0,24.0,0.05572968,576.0,24.0,99.48156504938895
39,100.0,100.0,0.94,2000.0,28.0,0.06501796,672.0,28.0,99.50630527939032
40,100.0,100.0,0.94,2500.0,31.0,0.07198417,744.0,31.0,99.06726219623503
41,100.0,100.0,0.94,3000.0,35.0,0.08127245,840.0,35.0,99.34968824271736
42,100.0,100.0,0.94,3500.0,38.0,0.08823866,912.0,38.0,99.0587573735799
43,100.0,100.0,0.94,4000.0,42.0,0.09752694,1008.0,42.0,99.35654980626637
44,100.0,100.0,0.94,4500.0,45.0,0.10449315,1080.0,45.0,99.15892473636998
45,100.0,100.0,0.95,500.0,15.0,0.03483105,360.0,15.0,99.7672136277513
46,100.0,100.0,0.95,1000.0,19.0,0.04411933,456.0,19.0,99.36502510447373
47,100.0,100.0,0.95,1500.0,23.0,0.05340761,552.0,23.0,99.40276985871348
48,100.0,100.0,0.95,2000.0,27.0,0.06269589,648.0,27.0,99.59034384802897
49,100.0,100.0,0.95,2500.0,30.0,0.0696621,720.0,30.0,99.4296431627302
50,100.0,100.0,0.95,3000.0,33.0,0.07662831,792.0,33.0,99.32794550928101
51,100.0,100.0,0.95,3500.0,36.0,0.08359452,864.0,36.0,99.28644704914757
52,100.0,100.0,0.95,4000.0,39.0,0.09056073,936.0,39.0,99.28846679300608
53,100.0,100.0,0.95,4500.0,42.0,0.09752694,1008.0,42.0,99.31545413290226
54,100.0,100.0,0.96,500.0,14.0,0.03250898,336.0,14.0,99.2553876866108
55,100.0,100.0,0.96,1000.0,19.0,0.04411933,456.0,19.0,99.67599345188502
56,100.0,100.0,0.96,1500.0,22.0,0.05108554,528.0,22.0,99.24017367560563
57,100.0,100.0,0.96,2000.0,26.0,0.06037382,624.0,26.0,99.62845165094608
58,100.0,100.0,0.96,2500.0,29.0,0.06734003,696.0,29.0,99.59636690196734
59,100.0,100.0,0.96,3000.0,31.0,0.07198417,744.0,31.0,99.15232369449897
60,100.0,100.0,0.96,3500.0,34.0,0.07895038,816.0,34.0,99.33224759086453
61,100.0,100.0,0.96,4000.0,37.0,0.08591659,888.0,37.0,99.48407482409189
62,100.0,100.0,0.96,4500.0,39.0,0.09056073,936.0,39.0,99.2454509741704
63,100.0,100.0,0.97,500.0,14.0,0.03250898,336.0,14.0,99.54174833450142
64,100.0,100.0,0.97,1000.0,18.0,0.04179726,432.0,18.0,99.3826304610807
65,100.0,100.0,0.97,1500.0,22.0,0.05108554,528.0,22.0,99.6693049015529
66,100.0,100.0,0.97,2000.0,25.0,0.05805175,600.0,25.0,99.63455930235376
67,100.0,100.0,0.97,2500.0,27.0,0.06269589,648.0,27.0,99.22391844219021
68,100.0,100.0,0.97,3000.0,30.0,0.0696621,720.0,30.0,99.47317335915461
69,100.0,100.0,0.97,3500.0,32.0,0.07430624,768.0,32.0,99.24039458600436
70,100.0,100.0,0.97,4000.0,34.0,0.07895038,816.0,34.0,99.01998031529415
71,100.0,100.0,0.97,4500.0,37.0,0.08591659,888.0,37.0,99.4575352781374
72,100.0,100.0,0.98,500.0,14.0,0.03250898,336.0,14.0,99.70030661824534
73,100.0,100.0,0.98,1000.0,18.0,0.04179726,432.0,18.0,99.67019770171805
74,100.0,100.0,0.98,1500.0,21.0,0.04876347,504.0,21.0,99.54271880506602
75,100.0,100.0,0.98,2000.0,24.0,0.05572968,576.0,24.0,99.61103390085995
76,100.0,100.0,0.98,2500.0,26.0,0.06037382,624.0,26.0,99.33019403355914
77,100.0,100.0,0.98,3000.0,28.0,0.06501796,672.0,28.0,99.07643162118184
78,100.0,100.0,0.98,3500.0,31.0,0.07198417,744.0,31.0,99.55169148633296
